,freight_value,price,payment_value,payment_installments,payment_sequential
89679,14.15,59.9,74.05,1,1
13290,9.28,49.9,59.18,1,1
20584,18.23,45.0,63.23,1,1
14535,37.09,249.0,286.09,5,1
85954,17.78,34.9,105.36,1,1
2623,19.61,59.9,79.51,1,1
96896,18.23,39.5,57.73,1,1
28156,14.52,29.9,88.84,2,1
67848,29.47,598.98,628.45,8,1
71217,20.9,64.99,85.89,1,1
14521,10.96,32.9,43.86,1,1
55459,12.0,149.9,323.79,4,1
41698,12.93,49.9,120.26,1,1
105157,14.44,98.9,113.34,2,1
14771,17.62,129.9,147.52,3,1
83046,18.31,29.9,48.21,1,1
81945,14.66,129.99,144.65,4,1
93916,7.78,15.99,23.77,2,1
46161,13.07,57.9,70.97,2,1
95762,14.1,49.99,64.09,1,1
97963,8.27,49.0,57.27,1,1
80806,9.73,219.9,229.63,10,1
40321,9.36,78.0,87.36,8,1
99391,15.79,21.9,113.07,1,1
63526,15.38,89.99,105.37,2,1
22162,18.13,18.99,82.38,1,1
5464,40.46,70.0,406.78,3,1
84911,17.6,49.9,67.5,1,1
10628,18.11,44.05,62.16,2,1
56279,12.81,20.9,33.71,1,1
106852,18.06,115.0,266.12,5,1
6728,16.5,44.9,61.4,1,1
31450,24.26,538.9,563.16,5,1
33437,11.23,109.9,363.39,10,1
60958,67.4,219.9,287.3,1,1
44704,14.36,69.9,84.26,8,1
111422,11.68,93.99,105.67,1,1
25239,8.84,124.99,397.96,10,1
70651,16.53,79.99,96.52,1,1
46523,14.52,49.9,64.42,1,1
98778,18.93,89.9,108.83,1,1
6059,27.07,109.9,136.97,1,1
32278,15.1,19.9,3.98,1,8
50051,14.82,599.99,614.81,1,1
92540,11.85,29.99,41.84,1,1
98606,5.6,45.0,207.18,6,1
58904,10.16,89.9,481.06,3,1
16188,12.8,66.0,78.8,3,1
69355,24.29,369.0,393.29,8,1
13134,18.3,27.9,46.2,1,1
92569,18.23,29.99,48.22,4,1
47069,9.54,69.99,159.06,10,1
75640,15.23,47.0,62.23,1,1
23028,21.55,499.99,521.54,1,1
43509,22.41,225.0,247.41,10,1
43091,22.62,163.99,373.22,8,1
112462,19.71,135.0,105.97,1,1
67524,19.18,154.9,174.08,5,1
1116,102.77,189.99,878.28,4,1
35444,31.74,422.0,151.99,1,1
57509,21.15,31.9,53.05,1,1
90004,18.09,120.0,276.18,3,1
8592,14.34,49.9,4.13,1,1
99019,7.78,13.65,21.43,1,1
75252,21.69,349.9,371.59,1,1
38605,13.71,39.9,53.61,2,1
46941,9.55,104.9,114.45,1,1
36908,8.64,24.9,33.54,1,1
40964,36.21,99.99,136.2,4,1
68484,9.59,389.9,399.49,3,1
46005,13.2,16.9,48.58,1,1
58594,16.85,155.0,171.85,2,1
74688,37.17,68.49,105.66,5,1
7875,9.34,26.0,35.34,1,1
33344,28.96,279.99,308.95,1,1
78123,18.81,24.95,121.98,1,1
98243,2.76,18.9,58.99,5,1
103083,15.1,19.49,34.59,1,1
56464,16.01,180.0,196.01,2,1
105001,15.98,175.0,190.98,4,1
92483,7.39,27.99,67.76,1,1
87607,22.32,55.0,68.99,1,2
66962,27.14,151.9,179.04,3,1
18106,18.53,139.9,158.43,10,1
84446,21.18,49.0,199.95,1,1
70131,17.26,29.9,160.0,7,1
53320,11.66,149.9,161.56,1,1
85335,17.67,59.9,77.57,2,1
78184,43.63,797.6,841.23,8,1
72348,10.07,330.0,340.07,8,1
104665,27.72,412.0,53.47,1,12
111750,9.94,65.0,74.94,7,1
5438,9.44,90.0,198.88,2,1
71208,28.81,58.99,87.8,1,1
1025,14.57,116.99,263.12,1,1
17163,8.72,39.9,48.62,1,1
59014,12.83,100.0,112.83,1,1
108025,15.92,250.0,265.92,1,1
103163,7.87,58.0,65.87,3,1
48771,16.57,116.25,132.82,1,1
65976,18.0,249.99,267.99,4,1
25144,27.39,120.0,147.39,2,1
69361,52.62,270.9,323.52,3,1
63780,13.21,79.0,92.21,1,1
109993,8.98,32.49,41.47,1,1
38962,16.32,80.0,96.32,1,1
48680,18.81,59.99,151.33,1,1
58771,17.34,89.9,107.24,1,1
39921,115.12,210.0,325.12,1,1
20549,25.73,65.0,90.73,2,1
54804,10.19,139.9,150.09,2,1
104636,12.83,76.0,88.83,1,1
2327,19.31,179.9,199.21,4,1
77461,7.78,14.99,68.31,3,1
6241,13.71,49.0,62.71,1,1
16632,21.53,99.0,232.86,3,1
73556,26.33,150.0,176.33,10,1
50743,8.98,89.99,98.97,2,1
8588,9.03,49.9,117.86,1,1
51609,18.52,11.99,59.31,1,1
