,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
110406,ipora do oeste,SC,2018-04-01 11:17:22,2018-04-01 11:30:17,2018-04-04 00:47:20,2018-04-11 18:52:20,2018-04-25,5,,,2018-04-12 00:00:00,2018-04-13 11:09:23,2018-04-05 11:30:17,149.0,21.96,34.0,1151.0,9.0,1950.0,1,credit_card,3,170.96,curitiba,PR,books_general_interest,Books & Stationery,4140.0,23,10,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
56189,mirassol,SP,2017-08-21 17:09:33,2017-08-21 17:25:35,2017-08-23 20:26:12,2017-08-28 16:52:46,2017-09-20,5,,,2017-08-29 00:00:00,2017-08-29 21:15:04,2017-08-25 17:25:35,195.9,14.39,38.0,1386.0,1.0,917.0,1,credit_card,2,420.58,maringa,PR,computers_accessories,Electronics,7680.0,29,6,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
63545,guarulhos,SP,2018-06-13 23:50:49,2018-06-14 00:18:20,2018-06-14 11:48:00,2018-06-18 21:43:33,2018-07-04,3,,,2018-06-19 00:00:00,2018-06-20 00:53:12,2018-06-18 00:18:20,149.99,19.15,26.0,2385.0,1.0,175.0,1,credit_card,1,169.14,araguari,MG,consoles_games,Electronics,1224.0,20,4,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
75200,belo horizonte,MG,2017-11-28 19:55:45,2017-11-28 20:15:37,2017-12-01 00:46:49,2017-12-05 15:42:45,2017-12-27,4,," O meu produto não veio conforme a compra,faltou um item. (planilha de avaliação). ",2017-12-06 00:00:00,2017-12-06 18:40:35,2017-12-07 20:15:37,349.9,20.69,51.0,625.0,1.0,900.0,1,credit_card,6,370.59,curitiba,PR,health_beauty,Beauty & Health,11400.0,28,6,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
53661,rio de janeiro,RJ,2018-01-25 18:09:47,2018-01-25 18:20:13,2018-01-26 22:33:20,2018-02-10 00:22:59,2018-02-23,3,,Boa loja,2018-02-10 00:00:00,2018-02-11 22:54:06,2018-02-06 18:20:13,215.0,21.0,56.0,708.0,2.0,5700.0,1,credit_card,6,236.0,sao paulo,SP,cool_stuff,Fashion,31752.0,28,15,14,OnTime/Early,OnTime/Early,Slow,Fast,Fast
48676,jaragua do sul,SC,2018-08-21 14:33:37,2018-08-21 14:50:15,2018-08-21 15:12:00,2018-08-27 21:18:38,2018-10-04,5,,,2018-08-28 00:00:00,2018-08-29 18:52:55,2018-08-23 14:50:15,38.0,6.66,49.0,170.0,6.0,200.0,1,credit_card,1,133.99,ribeirao preto / sao paulo,SP,toys,Entertainment,1428.0,43,6,6,OnTime/Early,OnTime/Early,Very Slow,Very Fast,Very Fast
90633,sao goncalo,RJ,2018-04-25 11:41:18,2018-04-25 11:51:58,2018-04-25 14:05:00,2018-05-04 21:56:48,2018-05-16,5,,,2018-05-05 00:00:00,2018-05-07 12:33:20,2018-05-02 11:51:58,68.0,15.36,45.0,151.0,2.0,233.0,1,credit_card,1,83.36,sao paulo,SP,stationery,Books & Stationery,3300.0,20,9,9,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
18437,mogi das cruzes,SP,2017-09-26 23:27:41,2017-09-26 23:49:16,2017-10-03 19:45:11,2017-10-14 20:39:44,2017-10-24,5,,Produto entregue antes do prazo e estava tudo correto.,2017-10-15 01:00:00,2017-10-16 11:32:18,2017-10-04 23:49:16,59.9,13.44,59.0,254.0,1.0,1650.0,1,credit_card,1,73.34,umuarama,PR,sports_leisure,Entertainment,45000.0,27,17,11,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
84471,salvador,BA,2017-12-10 11:46:25,2017-12-10 11:55:29,2017-12-12 20:52:31,2018-01-04 16:41:31,2018-01-10,3,,,2018-01-05 00:00:00,2018-01-07 16:13:36,2017-12-14 11:55:29,59.0,19.65,56.0,348.0,2.0,1550.0,1,credit_card,1,50.34,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,30,25,22,OnTime/Early,OnTime/Early,Slow,Slow,Neutral
53598,sao paulo,SP,2017-11-05 21:54:53,2017-11-05 22:06:49,2017-11-06 19:33:23,2017-11-07 16:15:57,2017-11-17,5,,,2017-11-08 00:00:00,2017-11-08 19:57:34,2017-11-09 22:06:49,48.9,11.73,56.0,645.0,2.0,1650.0,1,credit_card,1,60.63,maua,SP,cool_stuff,Fashion,3600.0,11,1,0,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
