iter	Passed	Remaining
0	56	11183
1	122	12110
2	184	12085
3	253	12408
4	307	11993
5	365	11806
6	428	11802
7	483	11597
8	540	11475
9	577	10980
10	614	10560
11	680	10667
12	747	10749
13	797	10590
14	839	10351
15	877	10091
16	917	9879
17	959	9696
18	1015	9670
19	1075	9681
20	1121	9559
21	1167	9443
22	1216	9362
23	1261	9250
24	1306	9145
25	1347	9020
26	1398	8961
27	1442	8861
28	1494	8814
29	1531	8680
30	1573	8580
31	1616	8487
32	1659	8395
33	1704	8320
34	1755	8277
35	1804	8220
36	1862	8203
37	1911	8151
38	1960	8091
39	2007	8028
40	2055	7971
41	2100	7900
42	2148	7845
43	2187	7756
44	2232	7689
45	2273	7610
46	2311	7525
47	2349	7440
48	2386	7355
49	2436	7310
50	2487	7268
51	2535	7216
52	2578	7152
53	2616	7074
54	2655	7001
55	2695	6932
56	2737	6866
57	2775	6794
58	2810	6716
59	2845	6639
60	2881	6565
61	2915	6490
62	2957	6431
63	2992	6358
64	3034	6301
65	3076	6246
66	3116	6187
67	3155	6124
68	3198	6071
69	3239	6017
70	3279	5957
71	3316	5895
72	3350	5829
73	3388	5769
74	3446	5744
75	3482	5682
76	3519	5621
77	3553	5558
78	3590	5499
79	3629	5444
80	3675	5400
81	3719	5352
82	3758	5298
83	3800	5247
84	3853	5213
85	3906	5178
86	3952	5133
87	4004	5096
88	4051	5052
89	4097	5008
90	4144	4964
91	4196	4926
92	4238	4877
93	4279	4825
94	4318	4772
95	4371	4736
96	4434	4708
97	4487	4670
98	4546	4638
99	4599	4599
100	4649	4557
101	4701	4517
102	4763	4485
103	4822	4451
104	4873	4409
105	4934	4376
106	4992	4338
107	5055	4306
108	5111	4267
109	5186	4243
110	5291	4242
111	5404	4246
112	5483	4221
113	5574	4205
114	5655	4180
115	5733	4152
116	5821	4129
117	6021	4184
118	6191	4214
119	6291	4194
120	6391	4172
121	6449	4123
122	6537	4092
123	6590	4039
124	6641	3985
125	6706	3938
126	6776	3895
127	6865	3862
128	6918	3808
129	6971	3753
130	7028	3701
131	7072	3643
132	7115	3584
133	7161	3527
134	7203	3468
135	7262	3417
136	7338	3374
137	7592	3411
138	7656	3360
139	7725	3310
140	7795	3261
141	7850	3206
142	7902	3150
143	7951	3092
144	8005	3036
145	8061	2981
146	8113	2925
147	8168	2870
148	8237	2819
149	8313	2771
150	8365	2714
151	8423	2660
152	8646	2656
153	8700	2598
154	8747	2539
155	8802	2482
156	8856	2425
157	8915	2369
158	8964	2311
159	9019	2254
160	9073	2197
161	9130	2141
162	9191	2086
163	9237	2027
164	9680	2053
165	10125	2073
166	10325	2040
167	10411	1983
168	10463	1919
169	10512	1855
170	10568	1792
171	10623	1729
172	10681	1667
173	10744	1605
174	10795	1542
175	10845	1478
176	10896	1415
177	10943	1352
178	10991	1289
179	11038	1226
180	11081	1163
181	11132	1101
182	11193	1039
183	11244	977
184	11327	918
185	11388	857
186	11493	798
187	11569	738
188	11624	676
189	11675	614
190	11795	555
191	11913	496
192	11990	434
193	12046	372
194	12105	310
195	12158	248
196	12205	185
197	12266	123
198	12316	61
199	12367	0
